release_year,title
1961,Hard Times In New York Town
1961,Man on the street
1962,Talkin’ Bear Mountain Picnic Massacre Blues
1962,Let Me Die in My Footsteps
1962,"Rambling, Gambling Willie"
1962,Talkin’ Hava Negeilah Blues
1962,Quit Your Low Down Ways
1962,Talkin' New York
1962,Song to Woody
1963,Who Killed Davey Moore?
1963,Talkin’ John Birch Paranoid Blues
1963,Paths of Victory
1963,Walls of Red Wing
1963,Last Thoughts On Woody Guthrie
1963,Down the Highway
1963,Masters of War
1963,Bob Dylan's Blues
1963,Walkin’ Down the Line
1963,Only a Hobo
1963,Girl from the North Country
1963,Blowin' in the wind
1963,A Hard Rain's A-Gonna Fall
1963,Oxford Town
1963,Eternal Circle
1963,"Corrina, Corrina"
1963,Talkin' World War III Blues
1963,I Shall Be Free
1963,Bob Dylan's Dream
1963,"Honey, Just Allow Me One More Chance"
1963,"Don't think twice, It's All Right"
1963,Seven Curses
1964,One Too Many Mornings
1964,Noth Country Blues
1964,Only a Pawn in Their Game
1964,Boots of Spanish Leather
1964,With God on Our Side
1964,The Lonesome Death of Hattie Carroll
1964,"Mama, You Been On My Mind"
1964,All I Really Want to Do
1964,When the Ship Comes in
1964,Ballad of Hollis Brown
1964,"It Ain't Me, Babe"
1964,Chimes of Freedom
1964,Restless Farewell
1964,Black Crow Blues
1964,Spanish Harlem Incident
1964,Ballad in Plain D
1964,I Shall Be Free No. 10
1964,To Ramona
1964,Motorpsycho Nightmare
1964,I Don't Believe You (She Acts Like We Never Have Met)
1964,The Times They Are A-Changin'
1965,Ballad Of a Thin Man
1965,Outlaw Blues
1965,Love Minus Zero/ No Limit
1965,She Belongs to Me
1965,Subterranean Homesick Blues
1965,Destolatian Row
1965,From a Buick 6
1965,Sitting on a Barbed-Wire Fence
1965,"Farewell, Angelina"
1965,Just Like Tom Thumb's Blues
1965,Mr. Tambourine Man
1965,Queen Jane Approximately
1965,Gates of Eden
1965,"It's Alright, Ma (I'm Only Bleeding)"
1965,Highway 61 Revisited
1965,On the Road Again
1965,"It Takes a Lot to Laugh, It Takes A train to Cry"
1965,Tombstone Blues
1965,Like a Rolling Stone
1965,"It's All Over Now, Baby Blue"
1965,Bob Dylan's 115th Deam
1965,Maggie's Farm
1966,Fourth Time Around
1966,Obviously Five Believers
1966,Absolutely Sweet Marie
1966,She’s Your Lover Now
1966,I Want You
1966,Sad-Eyed Lady of the Lowlands
1966,Temporary Like Achilles
1966,Just Like a Woman
1966,Most Likely You Go Your Own Way (and I'll Go Mine)
1966,Pledging My Time
1966,Leopard-Skin Pill-Box Hat
